,NDVI-Europe,,,
,objects,Pearson's r,Root Mean Square Error,Mean Absolute Error
1,orig-1km__resampl-1km-R-Aggreg,0.97951,0.05048,0.03123
2,orig-1km__resampl-1km-QGIS-Aggreg,0.97532,0.05476,0.03326
3,resampl-1km-R-Aggreg__resampl-1km-QGIS-Aggreg,0.99999,0.00114,0.00098
,,,,
,,,,
,,,,
,LAI-Europe,,,
,objects,Pearson's r,Root Mean Square Error,Mean Absolute Error
1,orig-1km__resampl-1km-R-Aggreg,0.9416,0.46936,0.31021
2,orig-1km__resampl-1km-QGIS-Aggreg,0.94005,0.47589,0.31375
3,resampl-1km-R-Aggreg__resampl-1km-QGIS-Aggreg,0.99995,0.01297,0.00737
,,,,
,,,,
,,,,
,LAI-Amazonia,,,
,objects,Pearson's r,Root Mean Square Error,Mean Absolute Error
1,orig-1km__resampl-1km-R-Aggreg,0.70523,0.90322,0.65949
2,orig-1km__resampl-1km-QGIS-Aggreg,0.70638,0.96189,0.68983
3,resampl-1km-R-Aggreg__resampl-1km-QGIS-Aggreg,0.99988,0.01338,0.00834
,,,,
,,,,
,,,,
,FCOVER-Europe,,,
,objects,Pearson's r,Root Mean Square Error,Mean Absolute Error
1,orig-1km__resampl-1km-R-Aggreg,0.97581,0.06967,0.04841
2,orig-1km__resampl-1km-QGIS-Aggreg,0.97396,0.07195,0.04931
3,resampl-1km-R-Aggreg__resampl-1km-QGIS-Aggreg,0.99998,0.00204,0.00095
,,,,
,,,,
,,,,
,FCOVER-Amazonia,,,
,objects,Pearson's r,Root Mean Square Error,Mean Absolute Error
1,orig-1km__resampl-1km-R-Aggreg,0.70206,0.11937,0.0835
2,orig-1km__resampl-1km-QGIS-Aggreg,0.71047,0.12503,0.0865
3,resampl-1km-R-Aggreg__resampl-1km-QGIS-Aggreg,0.99988,0.00197,9e-04
,,,,
,,,,
,,,,
,FAPAR-W Africa,,,
,objects,Pearson's r,Root Mean Square Error,Mean Absolute Error
1,orig-1km__resampl-1km-R-Aggreg,0.986,0.05055,0.02808
2,orig-1km__resampl-1km-QGIS-Aggreg,0.98201,0.05913,0.03304
3,resampl-1km-R-Aggreg__resampl-1km-QGIS-Aggreg,0.99999,0.00101,0.00063
,,,,
,,,,
,,,,
,FAPAR-Europe,,,
,objects,Pearson's r,Root Mean Square Error,Mean Absolute Error
1,orig-1km__resampl-1km-R-Aggreg,0.97449,0.06302,0.04307
2,orig-1km__resampl-1km-QGIS-Aggreg,0.9723,0.0655,0.04406
3,resampl-1km-R-Aggreg__resampl-1km-QGIS-Aggreg,0.99998,0.0017,0.00096
,,,,
,,,,
,,,,
,FAPAR-Amazonia,,,
,objects,Pearson's r,Root Mean Square Error,Mean Absolute Error
1,orig-1km__resampl-1km-R-Aggreg,0.67006,0.09832,0.0527
2,orig-1km__resampl-1km-QGIS-Aggreg,0.68385,0.10462,0.0562
3,resampl-1km-R-Aggreg__resampl-1km-QGIS-Aggreg,0.99993,0.00111,0.00087
,,,,
,,,,
,,,,
,DMP-W Africa,,,
,objects,Pearson's r,Root Mean Square Error,Mean Absolute Error
1,orig-1km__resampl-1km-R-Aggreg,0.98686,5.32346,2.69047
2,orig-1km__resampl-1km-QGIS-Aggreg,0.98407,6.04546,3.1398
3,resampl-1km-R-Aggreg__resampl-1km-QGIS-Aggreg,1,0.02141,0.00264
,,,,
,,,,
,,,,
,DMP-Europe,,,
,objects,Pearson's r,Root Mean Square Error,Mean Absolute Error
1,orig-1km__resampl-1km-R-Aggreg,0.9763,6.14813,4.11369
2,orig-1km__resampl-1km-QGIS-Aggreg,0.97586,6.19854,4.13796
3,resampl-1km-R-Aggreg__resampl-1km-QGIS-Aggreg,0.99999,0.0902,0.00527
